[2026-05-17T22:39:53] EXPIRY_CRITICAL | bc=5901234123457 | qty=0 | user=SYSTEM | CRITICAL — Brookside Full Cream Milk 1L has EXPIRED. Remove immediately.
[2026-05-17T22:39:53] EXPIRY_CRITICAL | bc=5901234123464 | qty=0 | user=SYSTEM | CRITICAL — Brookside Strawberry Yogurt 500ml has EXPIRED. Remove immediately.
[2026-05-17T22:39:53] EXPIRY_CRITICAL | bc=5901234123495 | qty=0 | user=SYSTEM | CRITICAL — Brookside Butter 250g has EXPIRED. Remove immediately.
[2026-05-17T22:39:53] ALERT_FIRED | bc=5901234123457 | qty=3 | user=SYSTEM | Low stock: Brookside Full Cream Milk 1L (3 units remaining on Dairy Shelf A)
[2026-05-17T22:39:53] ALERT_FIRED | bc=5901234123495 | qty=2 | user=SYSTEM | Low stock: Brookside Butter 250g (2 units remaining on Dairy Shelf A)
[2026-05-17T22:39:53] ALERT_FIRED | bc=5901234123471 | qty=4 | user=SYSTEM | Low stock: Unga Jogoo Maize Flour 2kg (4 units remaining on Cereals Shelf B)
[2026-05-17T22:39:53] RESTOCK_REQUEST_CREATED | bc=5901234123457 | qty=0 | user=SYSTEM | Request RR001 for shelf SH001
[2026-05-17T22:39:54] RESTOCK_REQUEST_CREATED | bc=5901234123495 | qty=0 | user=SYSTEM | Request RR002 for shelf SH001
[2026-05-17T22:39:54] RESTOCK_REQUEST_CREATED | bc=5901234123471 | qty=0 | user=SYSTEM | Request RR003 for shelf SH002
[2026-05-17T22:39:54] RESTOCK_DISPATCH | bc=5901234123457 | qty=24 | user=REP001 | Dispatched RR001. ETA: 2026-05-14
[2026-05-17T22:39:54] SALE | bc=5901234123488 | qty=2 | user=MGR001 | Sale on shelf SH002
[2026-05-17T22:39:54] SALE | bc=5901234123488 | qty=1 | user=MGR001 | Sale on shelf SH002
[2026-05-17T22:39:54] SALE | bc=5901234123488 | qty=1 | user=MGR001 | Sale on shelf SH002
[2026-05-17T22:39:54] SALE | bc=5901234123488 | qty=1 | user=MGR001 | Sale on shelf SH002
[2026-05-18T21:58:39] EXPIRY_CRITICAL | bc=5901234123457 | qty=0 | user=SYSTEM | CRITICAL — Brookside Full Cream Milk 1L has EXPIRED. Remove immediately.
[2026-05-18T21:58:39] EXPIRY_CRITICAL | bc=5901234123464 | qty=0 | user=SYSTEM | CRITICAL — Brookside Strawberry Yogurt 500ml has EXPIRED. Remove immediately.
[2026-05-18T21:58:39] EXPIRY_CRITICAL | bc=5901234123495 | qty=0 | user=SYSTEM | CRITICAL — Brookside Butter 250g has EXPIRED. Remove immediately.
[2026-05-18T21:58:39] ALERT_FIRED | bc=5901234123457 | qty=3 | user=SYSTEM | Low stock: Brookside Full Cream Milk 1L (3 units remaining on Dairy Shelf A)
[2026-05-18T21:58:39] ALERT_FIRED | bc=5901234123495 | qty=2 | user=SYSTEM | Low stock: Brookside Butter 250g (2 units remaining on Dairy Shelf A)
[2026-05-18T21:58:39] ALERT_FIRED | bc=5901234123471 | qty=4 | user=SYSTEM | Low stock: Unga Jogoo Maize Flour 2kg (4 units remaining on Cereals Shelf B)
[2026-05-18T21:58:39] RESTOCK_REQUEST_CREATED | bc=5901234123457 | qty=0 | user=SYSTEM | Request RR001 for shelf SH001
[2026-05-18T21:58:39] RESTOCK_REQUEST_CREATED | bc=5901234123495 | qty=0 | user=SYSTEM | Request RR002 for shelf SH001
[2026-05-18T21:58:40] RESTOCK_REQUEST_CREATED | bc=5901234123471 | qty=0 | user=SYSTEM | Request RR003 for shelf SH002
[2026-05-18T21:58:40] RESTOCK_DISPATCH | bc=5901234123457 | qty=24 | user=REP001 | Dispatched RR001. ETA: 2026-05-14
[2026-05-18T21:58:41] SALE | bc=5901234123488 | qty=2 | user=MGR001 | Sale on shelf SH002
[2026-05-18T21:58:41] SALE | bc=5901234123488 | qty=1 | user=MGR001 | Sale on shelf SH002
[2026-05-18T21:58:41] SALE | bc=5901234123488 | qty=1 | user=MGR001 | Sale on shelf SH002
[2026-05-18T21:58:41] SALE | bc=5901234123488 | qty=1 | user=MGR001 | Sale on shelf SH002
